POINT,EASTING,NORTHING
B-01,507245.14,1937725.566
B-02,507241.045,1937721.707
B-03,507187.106,1937669.619
B-04,507169.872,1937652.777
B-05,507142.25,1937695.984
B-06,507168.89,1937711.67
B-07,507169.473,1937715.209
B-08,507159.163,1937756.028
B-09,507151.37,1937777.889
B-10,507147.998,1937787.015
B-11,507145.09,1937787.599
B-12,507136.441,1937786.967
B-13,507128.469,1937785.43
B-14,507125.336,1937784.37
B-15,507122.425,1937784.034
B-16,507120.587,1937783.381
B-17,507117.917,1937782.868
B-18,507112.591,1937781.229
B-19,507105.211,1937778.56
B-20,507079.371,1937766.868
B-21,507074.823,1937763.258
B-22,507072.868,1937760.351
B-23,507071.194,1937754.446
B-24,507071.115,1937748.807
B-25,507073.011,1937742.892
B-26,507075.585,1937737.192
B-27,507085.912,1937709.296
B-28,507094.856,1937690.156
B-29,507072.471,1937672.881
B-30,507026.825,1937715.858
B-31,506990.815,1937747.568
B-32,506957.377,1937777.247
B-33,506950.657,1937783.836
B-34,506892.295,1937821.391
B-35,506786.692,1937883.238
B-36,506783.641,1937884.492
B-37,506775.883,1937886.739
B-38,506733.338,1937898.976
B-39,506672.01,1937916.981
B-40,506633.53,1937925.058
B-41,506635.085,1937935.112
B-42,506640.168,1937978.247
B-43,506600.499,1937981.495
B-44,506608.481,1938030.459
B-45,506609.84,1938040.523
B-46,506622.912,1938038.107
B-47,506647.635,1938033.226
B-48,506728.009,1938009.152
B-49,506795.723,1937983.081
B-50,506959.583,1937926.671
B-51,507010.461,1937908.724
B-52,507060.571,1937889.132
B-53,507136.151,1937856.319
B-54,507209.695,1937822.643
B-55,507259.199,1937950.656
B-56,507273.07,1937986.405
B-57,507293.969,1937972.336
B-58,507319.06,1937956.291
B-59,507326.689,1937951.843
B-60,507324.547,1937923.523
B-61,507322.871,1937905.542
B-62,507307.233,1937788.496
