POINT,EASTING,NORTHING
B01,435001.233,2380857.51
B02,434997.323,2380831.531
B03,434992.136,2380786.635
B04,434984.818,2380723.621
B05,434981.467,2380685.321
B06,434978.906,2380657.775
B07,434976.343,2380635.445
B08,434973.91,2380607.945
B09,434972.242,2380598.422
B10,434967.415,2380555.834
B11,434962.983,2380516.835
B12,434961.526,2380493.962
B13,434961.387,2380483.558
B14,434954.265,2380482.184
B15,434954.96,2380454.526
B16,434955.582,2380444.949
B17,434954.663,2380433.741
B18,434957.191,2380406.933
B19,434958.689,2380383.099
B20,434960.217,2380370.818
B21,434956.976,2380369.595
B22,434896.42,2380372.235
B23,434858.969,2380374.315
B24,434856.917,2380374.46
B25,434856.842,2380370.604
B26,434858.817,2380334.877
B27,434862.335,2380311.658
B28,434865.824,2380281.924
B29,434864.988,2380279.64
B30,434838.631,2380280.762
B31,434777.395,2380283.478
B32,434742.105,2380284.027
B33,434735.594,2380284.257
B34,434735.43,2380293.884
B35,434736.792,2380336.215
B36,434738.49,2380374.271
B37,434738.797,2380381.845
B38,434724.724,2380383.81
B39,434700.557,2380387.477
B40,434697.981,2380387.749
B41,434702.385,2380416.126
B42,434702.178,2380435.777
B43,434704.087,2380469.122
B44,434708.472,2380493.744
B45,434725.808,2380614.69
B46,434734.514,2380664.357
B47,434736.993,2380670.783
B48,434747.157,2380717.588
B49,434755.298,2380735.89
B50,434762.106,2380761.429
B51,434771.091,2380785.128
B52,434776.252,2380793.548
B53,434785.513,2380799.154
B54,434817.242,2380809.088
B55,434841.542,2380818.517
B56,434863.136,2380831.847
B57,434882.865,2380838.271
B58,434934.451,2380856.43
B59,434973.273,2380859.029
