POINT,EASTING,NORTHING
P-01,434319.692,2381084.838
P-02,434329.496,2381085.066
P-03,434354.477,2381084.727
P-04,434376.835,2381084.567
P-05,434405.34,2381084.096
P-06,434422.076,2381083.969
P-07,434446.162,2381083.494
P-08,434463.943,2381082.659
P-09,434482.586,2381081.862
P-10,434481.95,2381072.771
P-11,434481.25,2381056.072
P-12,434480.061,2381037.963
P-13,434479.213,2381023.88
P-14,434478.452,2381012.52
P-15,434477.266,2381000.946
P-16,434461.268,2381000.862
P-17,434438.113,2381001.836
P-18,434414.304,2381002.782
P-19,434388.417,2381004.511
P-20,434372.456,2381005.653
P-21,434371.659,2380993.298
P-22,434370.041,2380965.543
P-23,434367.85,2380937.55
P-24,434366.428,2380924.692
P-25,434365.536,2380919.055
P-26,434381.039,2380918.454
P-27,434397.48,2380918.115
P-28,434415.645,2380917.616
P-29,434441.62,2380916.058
P-30,434462.607,2380915.427
P-31,434479.034,2380915.378
P-32,434499.981,2380914.976
P-33,434515.581,2380914.797
P-34,434520.174,2380914.254
P-35,434537.496,2380914.451
P-36,434552.957,2380914.683
P-37,434586.141,2380914.243
P-38,434597.802,2380913.725
P-39,434595.746,2380894.709
P-40,434591.466,2380864.67
P-41,434588.075,2380840.723
P-42,434587.055,2380823.408
P-43,434607.162,2380822.675
P-44,434624.104,2380819.653
P-45,434621.686,2380804.351
P-46,434618.938,2380788.857
P-47,434613.926,2380757.941
P-48,434608.712,2380725.367
P-49,434605.337,2380701.413
P-50,434598.461,2380656.424
P-51,434594.358,2380621.46
P-52,434584.15,2380622.059
P-53,434560.85,2380623.75
P-54,434536.068,2380625.431
P-55,434520.951,2380625.783
P-56,434502.141,2380628.846
P-57,434484.943,2380630.934
P-58,434485.379,2380649.509
P-59,434488.818,2380675.374
P-60,434493.004,2380695.502
P-61,434494.827,2380712.011
P-62,434497.514,2380735.368
P-63,434500.912,2380763.44
P-64,434503.135,2380783.641
P-65,434505.169,2380800.704
P-66,434506.245,2380809.814
P-67,434506.875,2380820.544
P-68,434491.843,2380820.026
P-69,434470.499,2380819.106
P-70,434455.246,2380818.42
P-71,434425.897,2380819.049
P-72,434413.791,2380818.952
P-73,434388.069,2380819.907
P-74,434372.695,2380821.479
P-75,434353.116,2380824.419
P-76,434338.33,2380827.151
P-77,434320.994,2380829.066
P-78,434310.457,2380830.239
P-79,434302.618,2380832.242
P-80,434302.055,2380841.146
P-81,434302.223,2380859.499
P-82,434303.712,2380896.899
P-83,434304.935,2380913.409
P-84,434306.048,2380924.051
P-85,434307.542,2380938.496
P-86,434309.081,2380946.689
P-87,434310.938,2380963.147
P-88,434313.412,2380978.062
P-89,434315.409,2380994.74
P-90,434315.786,2381007.135
P-91,434317.507,2381028.168
P-92,434318.701,2381047.194
P-93,434319.358,2381064.105
P-94,434319.135,2381078.013
